@RELATION Mario

@ATTRIBUTE  jumpsNumber		REAL
@ATTRIBUTE  duckNumber		REAL
@ATTRIBUTE  timeSpentDucking		REAL
@ATTRIBUTE  timesPressedRun		REAL
@ATTRIBUTE  timeSpentRunning		REAL
@ATTRIBUTE  timeRunningRight		REAL
@ATTRIBUTE  timeRunningLeft		REAL
@ATTRIBUTE  kickedShells		REAL
@ATTRIBUTE  totalTimeLittleMode		REAL
@ATTRIBUTE  totalTimeLargeMode		REAL
@ATTRIBUTE  totalTimeFireMode		REAL
@ATTRIBUTE  timesSwichingPower		REAL
@ATTRIBUTE  aimlessJumps		REAL
@ATTRIBUTE  percentageBlocksDestroyed		REAL
@ATTRIBUTE  percentageCoinBlocksDestroyed		REAL
@ATTRIBUTE  percentageEmptyBlockesDestroyed		REAL
@ATTRIBUTE  percentagePowerBlockDestroyed		REAL
@ATTRIBUTE  timesOfDeathByFallingIntoGap		REAL
@ATTRIBUTE  timesOfDeathByRedTurtle		REAL
@ATTRIBUTE  timesOfDeathByGoomba		REAL
@ATTRIBUTE  timesOfDeathByGreenTurtle		REAL
@ATTRIBUTE  timesOfDeathByArmoredTurtle		REAL
@ATTRIBUTE  timesOfDeathByJumpFlower		REAL
@ATTRIBUTE  timesOfDeathByCannonBall		REAL
@ATTRIBUTE  timesOfDeathByChompFlower		REAL
@ATTRIBUTE  percentageEnemiesKilled		REAL
@ATTRIBUTE  percentageCoinsCollected		REAL
@ATTRIBUTE	percentageSpentRunning		REAL
@ATTRIBUTE	percentageSpentRunningRight		REAL
@ATTRIBUTE	percentageTimeTaken		REAL

@ATTRIBUTE class {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15}

@DATA
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.76,0.83,0.51,0.34,-1.0,-1,-1,-1,-1,-1,-1,-1,0.76,0.88,0.90,0.16,0.48,7
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.17,0.91,0.72,0.47,-1.0,-1,-1,-1,-1,-1,-1,-1,0.41,0.83,0.90,0.93,0.81,7
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.48,0.24,0.62,0.05,-1.0,-1,-1,-1,-1,-1,-1,-1,0.94,0.50,0.72,0.06,0.96,12
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.55,0.60,0.06,0.57,-1.0,-1,-1,-1,-1,-1,-1,-1,0.65,0.93,0.86,0.36,0.35,7
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.02,0.68,0.91,0.03,-1.0,-1,-1,-1,-1,-1,-1,-1,0.56,0.28,0.24,0.13,0.62,4
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.60,0.71,0.53,0.92,-1.0,-1,-1,-1,-1,-1,-1,-1,0.34,0.44,0.73,0.48,0.59,4
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.56,0.72,0.22,0.63,-1.0,-1,-1,-1,-1,-1,-1,-1,0.19,0.97,0.80,0.23,0.34,6
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.25,0.37,0.97,0.44,-1.0,-1,-1,-1,-1,-1,-1,-1,0.16,0.96,0.05,0.32,0.46,6
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.94,0.71,0.70,0.02,-1.0,-1,-1,-1,-1,-1,-1,-1,0.76,0.43,0.39,0.49,0.24,5
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.16,0.31,0.14,0.91,-1.0,-1,-1,-1,-1,-1,-1,-1,0.52,0.30,0.11,0.93,0.18,1
